level_0,Symbols,Close,High,Low,Open,Volume
2020-08-10,MRNA,72.01,75.0,71.41,74.27,8678274.0
2020-08-11,AMZN,154.034,157.961,153.65,155.66,74361140.0
2020-08-11,BNTX,67.7998,72.1877,65.8782,68.3446,4070900.6489153
2020-08-11,MRNA,68.97,71.4,67.0,69.52,18118727.0
2020-08-12,AMZN,158.112,158.719,155.071,155.4,70544580.0
2020-08-12,BNTX,68.4535,70.484,65.4919,70.2166,3284799.4419489
2020-08-12,MRNA,69.52,75.75,68.3,75.67,50471491.0
2020-08-13,AMZN,158.051,160.876,157.75,159.15,62980860.0
2020-08-13,BNTX,70.3256,70.8505,66.6645,67.6017,2413871.4620563
2020-08-13,MRNA,67.83,69.18,67.05,69.09,15055934.0
2020-08-14,AMZN,157.401,158.912,156.0,158.909,55034460.0
2020-08-14,BNTX,67.988,70.3058,67.3739,70.2562,1880239.4703146
